0,1,2,3,4,5
Gangdong-gu,2023-01-12,102392,Yongsan-gu,2023-04-24,275.0
Guro-gu,2023-01-12,128693,Jung-gu,2023-04-24,38674.0
Jung-gu,2023-01-12,64729,Songpa-gu,2023-04-24,2269.0
Gwanak-gu,2023-01-12,30253,Gwanak-gu,2023-04-24,2739.0
Geumcheon-gu,2023-01-12,105291,Eunpyeong-gu,2023-04-24,3582.0
Yongsan-gu,2023-01-12,614,Gangseo-gu,2023-04-24,7408.0
Jongno-gu,2023-01-12,17937,Yangcheon-gu,2023-04-25,4831.0
Mapo-gu,2023-01-12,102348,Gwangjin-gu,2023-04-25,16034.0
Gangbuk-gu,2023-01-12,92624,Jung-gu,2023-04-25,59921.0
Seocho-gu,2023-01-12,65158,Gangseo-gu,2023-04-25,9040.0
Gwanak-gu,2023-01-13,32227,Gangnam-gu,2023-04-25,32375.0
Seongdong-gu,2023-01-13,3256,Seongdong-gu,2023-04-25,2225.0
Seocho-gu,2023-01-13,70355,Songpa-gu,2023-04-25,976.0
Gangnam-gu,2023-01-13,127205,Seodaemun-gu,2023-04-25,3897.0
Guro-gu,2023-01-13,129762,Seoul_Grand_Park,2023-04-25,5196.0
Gangdong-gu,2023-01-13,101214,Jongno-gu,2023-04-25,3583.0
Seoul_Grand_Park,2023-01-13,6978,Gangdong-gu,2023-04-25,8528.0
Songpa-gu,2023-01-13,25853,Gwanak-gu,2023-04-25,4637.0
Nowon-gu,2023-01-13,50662,Mapo-gu,2023-04-25,2149.0
Gangseo-gu,2023-01-13,57537,Eunpyeong-gu,2023-04-25,4052.0
Dobong-gu,2023-01-13,116347,Seocho-gu,2023-04-25,35309.0
Gwangjin-gu,2023-01-13,80699,Yongsan-gu,2023-04-25,438.0
Yongsan-gu,2023-01-13,583,Gangbuk-gu,2023-04-25,4515.0
Yangcheon-gu,2023-01-13,102378,Songpa-gu,2023-04-26,1356.0
Geumcheon-gu,2023-01-13,103599,Seocho-gu,2023-04-26,25976.0
